pQBR57.dPFLU4242.c.logFC,pQBR57.dPFLU4242.c.logCPM,pQBR57.dPFLU4242.c.F,pQBR57.dPFLU4242.c.PValue,pQBR57.dPFLU4242.c.FDR,pQBR57.PQBR57_0059_V100A.c.logFC,pQBR57.PQBR57_0059_V100A.c.logCPM,pQBR57.PQBR57_0059_V100A.c.F,pQBR57.PQBR57_0059_V100A.c.PValue,pQBR57.PQBR57_0059_V100A.c.FDR,pQBR57.dgacS.c.logFC,pQBR57.dgacS.c.logCPM,pQBR57.dgacS.c.F,pQBR57.dgacS.c.PValue,pQBR57.dgacS.c.FDR,pQBR103.dPFLU4242.c.logFC,pQBR103.dPFLU4242.c.logCPM,pQBR103.dPFLU4242.c.F,pQBR103.dPFLU4242.c.PValue,pQBR103.dPFLU4242.c.FDR,pQBR103.dgacS.c.logFC,pQBR103.dgacS.c.logCPM,pQBR103.dgacS.c.F,pQBR103.dgacS.c.PValue,pQBR103.dgacS.c.FDR
PFLU_0011,-0.426036537890837,7.70681274807161,5.72010216053909,0.0245905245693381,0.137336753996321,-0.317834028131354,7.70681274807161,3.18562805884962,0.0863948092330303,0.568568200658727,-0.11032383143196,7.70681274807161,0.385814250535654,0.540114609210338,0.773219864910444,0.0647325839101733,7.70681274807161,0.132376730192307,0.719030682619495,0.885281977029562,0.109339828073676,7.70681274807161,0.377895626184699,0.544270966168654,0.6829771403723
PFLU_0012,-0.392156453231164,5.117642940108,6.77865780300944,0.0152806820834752,0.104152704617575,-0.564102956311828,5.117642940108,13.7971505961232,0.00102396222818719,0.140235199111496,-0.254491611670488,5.117642940108,2.8905552846534,0.101474839961131,0.316015511650502,0.131866255350404,5.117642940108,0.761561329398229,0.391121847902,0.68411688784346,0.270477079060188,5.117642940108,3.22522282023003,0.0845744967935263,0.184329834055173
PFLU_0013,-0.410385208714681,6.99340056697746,11.9336129765807,0.00197293258185958,0.0333867815361238,-0.27916055010358,6.99340056697746,5.5221159143054,0.0269525091821331,0.432991681296241,-0.157166881926245,6.99340056697746,1.76164298726727,0.196380418704345,0.463328091176113,0.188184017611027,6.99340056697746,2.51043094509274,0.12562908917928,0.383510638052905,0.368380681786428,6.99340056697746,9.62011106982335,0.00471399401536708,0.0213872964225707
PFLU_0014,-0.435791725757968,4.28160113853051,4.42887372857603,0.0455272420695696,0.197738360495546,-0.266460422534291,4.28160113853051,1.64057570713964,0.211968744734287,0.706703368509407,-0.222311664520973,4.28160113853051,1.17437670955793,0.288815856547306,0.572332643106888,0.299604801721991,4.28160113853051,2.08335617034993,0.161292164013903,0.43827511780878,0.256290645250146,4.28160113853051,1.52928028599079,0.227680113256342,0.378608475317746
PFLU_0015,-0.315250257973294,6.06849850264051,5.52598493407085,0.026904008460426,0.144824228357814,-0.267830665925244,6.06849850264051,3.97395978206546,0.0571966450338784,0.513461955189801,-0.274765724462488,6.06849850264051,4.22115555608872,0.0504859153333387,0.200750543820413,0.138744624180879,6.06849850264051,1.06508663282087,0.311911300324025,0.614264289878828,0.392098659011685,6.06849850264051,8.52206750685152,0.00731178968490815,0.0300272869277713
PFLU_0016,-0.232930384235176,4.85183107471924,0.556960959325697,0.462428387179037,0.696753941014996,-0.34759544930256,4.85183107471924,1.22442861779211,0.278997996948521,0.752996547045833,-0.356843779618969,4.85183107471924,1.31803149582069,0.261782445430547,0.545120571497455,0.354251661529745,4.85183107471924,1.2569378983626,0.272855651603965,0.574694897101485,0.778623922342624,4.85183107471924,6.11149487086889,0.0205667054174352,0.0650119850795898
PFLU_0017,-0.635272029823074,4.64293586361425,3.19253762399682,0.0860739389331042,0.279598559246828,-0.69049343104062,4.64293586361425,3.71883825076256,0.0651989796407623,0.526231274925559,-0.382038866963531,4.64293586361425,1.18026901746251,0.287636560451253,0.571612510388347,0.436968797804516,4.64293586361425,1.46567639247833,0.237318887485323,0.536299276997585,1.05406245795076,4.64293586361425,8.57421745389489,0.00715797807396154,0.0295605419898734
PFLU_0018,-0.518503118555576,7.18650669423546,11.2106049560917,0.00257151769867277,0.0378275504917966,-0.266282164692708,7.18650669423546,2.96480038519615,0.0974125074364789,0.58840911212799,0.0461621712938781,7.18650669423546,0.0897053255208137,0.767021073810128,0.899375233041241,0.117864143502833,7.18650669423546,0.581771648458885,0.452735953375294,0.72860118234717,0.302667054226602,7.18650669423546,3.83689018568823,0.0613484249262382,0.145972070460855
PFLU_0019,-0.309332158602964,3.47048567513145,2.78411644450619,0.107645954773931,0.316646866964874,-0.23848187667234,3.47048567513145,1.6302149155507,0.213372924123599,0.709498699661011,-0.776938330046717,3.47048567513145,17.4915219841818,0.000308369211949446,0.0048685959495182,5.81094545317327e-05,3.47048567513145,1.01215303989185e-07,0.999748676146942,0.999748676146942,-1.10435706985429,3.47048567513145,33.3349975716636,5.06166707293596e-06,7.11411870943195e-05
PFLU_0020,-0.201494080095713,4.91771304340759,2.12390159590262,0.157429211568621,0.394029026804927,-0.142668061549167,4.91771304340759,1.05540305204421,0.31407614943582,0.767726813356182,-0.322959464714379,4.91771304340759,5.49485542882464,0.0272970004962216,0.134113442282558,-0.246382081175942,4.91771304340759,3.17877839702591,0.0867142535834808,0.311758387883467,-0.47038721444323,4.91771304340759,11.5447710675884,0.00227334814821309,0.0121692195977315
