AR05,AR06,AR10,BR05,BR06,BR10,CR05,CR06,CR10
pQBR0025,1296.33383895243,1421.81384342932,1080.6876035706,1293.03501659748,1268.56986901166,893.895272869149,1028.85935536391,1236.46954579571,1174.54370206882
pQBR0026,2130.44438367482,2257.73015439085,2687.5504420361,2156.14897757526,2463.83883168514,2965.1506768972,2212.04089560902,2183.08446382316,2570.98006379314
pQBR0027,313.257787644151,392.489659136683,367.609654246766,284.558762455432,518.9913538389,410.710588870223,327.799919558809,660.125062039773,342.783635290965
pQBR0028,684.321356482798,985.622324708325,661.767833750385,679.078054315602,988.653913217838,851.366461739191,587.282870721742,1258.40964773281,724.714235451148
pQBR0029,540.996414263362,1298.21917186763,672.562308523335,523.992012774383,1156.79669104418,835.687562384233,422.356936202977,1534.13314939888,628.068080146027
pQBR0030,647.068538328543,1525.93868467259,727.328609833368,607.543048578604,1503.35595937629,1064.03128712858,476.650696548137,2017.23239824683,1125.1442885726
pQBR0031,710.45421652151,1575.90971425928,976.81470638414,911.39032006871,2021.56548599186,1338.59189499049,559.242153512425,2254.98538727536,925.219396087199
pQBR0032,627.371556149722,1205.09619538615,729.750189615422,650.031190409061,1361.34350688981,990.813664808293,583.58270156713,1360.82342163327,752.16656848282
pQBR0033,1180.73157012822,2542.40618199272,1505.3818949698,859.009276760565,3031.07263829884,2302.21870475557,936.48714164073,3537.81956840197,1487.61527918555
pQBR0034,783.359801795829,1327.70100615175,884.420836720455,644.445336797784,1460.10390689189,1266.76210203046,621.655714717397,1721.35326320884,906.016537266681
pQBR0035,292.043856006729,625.844972754958,374.841014828409,295.550860936567,722.857883877062,577.171675572573,287.322013525588,771.958013726511,422.367476119365
pQBR0036,1342.42601137284,1855.73314441721,1505.11349102016,1611.49764679805,1864.45687071239,1874.80649617812,1255.66734764907,2135.23782940461,1497.86540709625
pQBR0037,862.468697563733,1162.94249063778,967.899334063968,984.359364139061,1189.14901343771,987.161421187768,880.88128169648,1320.91514760757,1052.75590431977
pQBR0038,1101.94247797232,1178.7626624246,1121.13274092425,1079.65030093195,1260.28519790346,1155.81386837829,1061.00304363156,1374.87835215633,1317.78598472361
pQBR0039,610.100801115987,681.985042930688,604.906783911002,527.633090450419,690.691398735931,642.654585339634,613.036699343729,717.729558216797,590.996619645621
pQBR0040,1769.42835463014,2250.61467964764,1953.25337449816,1603.11746283316,2237.99028220849,2882.51158012612,1658.54869785608,2417.36334526159,2400.45142346471
pQBR0041,2002.9947749849,2522.02978114546,2348.40214332129,1792.97987686462,2672.16159016658,3147.11769821269,1678.06418225825,2488.80633386161,2164.37381547998
pQBR0042,1971.52823691831,2238.60445474357,2012.45551541152,1875.97531840147,2120.38432866786,2350.72412517765,1521.08641180375,1965.28026182847,1875.19916049549
pQBR0043,1151.4183499632,1338.66136061576,1358.99510046585,1155.69191897962,1347.62361511568,1518.20329314297,1049.8389377397,1539.59880194653,1888.41265413956
pQBR0044,261.279066075237,243.289720469055,236.78193097854,215.947446419457,211.113789007073,223.085423681422,249.733709207844,201.124892335069,237.90890922957
pQBR0045,519.217442133176,491.146648794047,519.292145099561,527.697310641564,530.304886433309,445.149797694233,529.602626104446,519.346128740207,488.517729393561
