AR03,AR04,AR07,AR09,BR03,BR04,BR07,BR09,CR03,CR04,CR07,CR09
PQBR57_0056,68910.3249743963,88238.0901581501,86394.1278068868,23128.034151651,60527.9443972673,91940.7188787807,84772.2051458064,21757.4987251424,60079.4146746367,147080.125676108,79538.613766067,20006.0086531354
PQBR57_0057,40174.4916991752,45758.0981379673,46385.1068076312,11989.3198315017,31136.7528873919,48639.3319101085,44723.84465424,11847.8073934149,32595.5329084529,69703.1385851479,41647.0704750115,9542.24507295102
PQBR57_0058,5890.5798546761,4681.32204345752,5549.95967794725,2668.01294608335,5173.30795576136,4288.62185248499,5377.81613249091,2752.53973909039,5347.10784236423,7235.83978479335,5758.27662516236,2833.18473424831
PQBR57_0059,4091.07143322698,4588.40345883251,4090.11085877134,5254.94709748513,4678.61682251435,5050.25160753139,4139.66006487854,4952.10563850488,4952.00694295895,4840.30352698562,4342.87793859362,5013.46089390318
PQBR57_0060,38860.3692498938,39782.3170582868,35037.2921414947,5546.63736236274,36934.5708236099,30471.7305814756,30460.5737622189,5709.51454182297,35994.7287979308,58319.0832646746,25224.1234961581,4794.77841868618
PQBR57_0061,36310.4477934718,36549.0526477742,33319.5636335445,5753.83265553856,35479.1225941444,30189.8791938921,28675.4132397593,5964.40559575828,29840.6031174462,56235.3799811498,24187.9296697868,5445.91421375024
PQBR57_0062,40440.8787141718,39667.4399089471,34464.8117928071,5792.3682396604,35124.6478634982,30109.5746542295,31745.0067198956,5659.08014576837,28462.5905760599,66376.2069403445,23632.1928080409,5634.43609160369
PQBR57_0063,20822.8005290427,20107.6773094159,16440.5059090251,2705.17532279292,17380.461433238,14558.8537950992,14650.1791266385,2566.78552356896,15113.6994326185,31414.7132857038,13077.0809477932,3000.25645973161
PQBR57_0064,23772.7389784407,23025.6458142601,20170.2708214151,3543.01799769972,21361.6775586112,17324.2988086922,19248.4695411551,3653.57940478543,21320.3708777882,36815.5542491461,18536.2611315878,3977.04960750459
PQBR57_0065,22568.8837252389,20115.0940728946,17432.3190064458,2285.94283476041,17554.6633635293,14902.2259383161,16117.3103926757,2557.56116323269,16813.6675392196,36211.5228581557,13192.5175854233,2589.76149900841
PQBR57_0066,19586.1394298066,18324.9159007277,16408.1269928873,2259.80955622514,15956.4216100347,13951.7735884879,14732.1300495141,2598.05552755502,17420.8465220054,30434.7178371902,13243.0061347205,2326.03524225899
PQBR57_0067,31102.9892730986,33454.8676619009,31035.4909825794,5916.38582308191,37168.4284052763,30735.3428063224,38528.3846286975,5481.54037648936,68228.9430854444,37761.6650960995,69016.9112497099,4918.67276667786
PQBR57_0068,1302.16533207575,1328.39660386596,1167.14889365142,1421.17326400269,1282.0950428354,1364.05985838174,1376.12297885866,1300.37115992206,1300.77584907243,1211.88321158637,1493.03458486508,1377.48209674393
PQBR57_0069,2275.93303342462,2186.29211385408,2188.58060898806,2578.0735264719,2279.45696564449,2355.14673306236,2334.63793257867,2277.57583778611,2339.49325920158,2476.48580949608,2797.10526347791,2581.55806090801
PQBR57_0070,640.112327212425,672.333038868867,754.275835984888,619.655983841391,669.21680150801,644.042179338547,614.07657552316,544.787868704098,621.26224250301,760.568597943015,591.919778158179,534.289614453569
PQBR57_0071,787.539837628261,948.235486798222,900.623829604836,847.456910203675,913.97441177246,875.986750303516,774.701511263177,771.323692751787,1062.82904741284,655.726958338979,887.213456194768,771.154263778191
PQBR57_0072,1205.27479332719,1138.60010552206,1050.11282957697,1182.87467961177,1030.71380223727,1148.74257049861,1029.78674143928,944.725069755226,1197.47935732525,858.071297299047,1230.64728580155,960.734771043651
PQBR57_0073,1808.52638542888,1783.64766512841,1827.75826745519,1904.72506400242,1731.36393297019,1883.15962108149,1770.69768025799,1727.36558140521,1700.48304633567,2135.33564967061,1668.84918776131,1804.19246432999
