AR01,AR02,AR03,AR04,AR05,AR06,AR07,AR08,AR09,AR10,BR01,BR02,BR03,BR04,BR05,BR06,BR07,BR08,BR09,BR10,CR01,CR02,CR03,CR04,CR05,CR06,CR07,CR08,CR09,CR10
PFLU_0011,189.326907818483,165.645828993033,243.073981184895,152.421664008945,190.891446829614,194.316477665029,193.540989118441,188.936847401394,237.07829187281,180.316260498001,211.915905852717,185.474247576465,256.400917708062,198.101494772345,198.18793483572,246.003006323159,238.642172280238,223.501117864394,263.321544671091,305.161676446757,189.935135450419,220.773890286872,303.115041545213,247.284327390702,238.850361187204,216.299356995458,211.794827761116,240.083999713025,243.253251832691,191.803227745357
PFLU_0012,52.0580921282279,54.3360625178784,88.1765235970106,60.1678593169022,67.3268714053511,74.0444012030477,56.0668298230611,51.6587704552982,56.3435369701166,66.6428708516607,55.1510111864894,61.2011026399761,75.2834986581051,61.0201191842088,57.7210943853341,58.5885277725069,46.7470478999441,51.3116632125312,77.1167188022713,87.6665392050213,49.9826925130991,55.0698053866505,74.0582301181222,59.5612983746226,51.7557170376129,61.569950736973,57.6018866052838,67.9569175542706,65.1764538770544,58.8340863509334
PFLU_0013,133.24545199655,138.411267018953,161.454418542584,120.918059127558,125.256218930942,121.981580777095,133.87849769912,174.962296822569,156.84237886359,159.301467920828,142.71295866381,130.784685580162,167.789063851631,134.554809675196,129.472581367582,160.75538971954,133.952962072682,153.845838099193,158.115134453744,183.782421997543,111.483501824776,115.942218532464,176.491002027011,125.184022847255,124.130968418656,148.669157529061,148.913780010426,143.366115962533,138.681338798507,145.794185769319
PFLU_0014,64.3430882028139,67.3480151717155,61.6180062374933,59.741774554328,52.8145880392577,53.6084209636894,68.6080943887459,75.3416202347705,88.3898074991483,65.1146997769515,53.6438479253201,61.6211190152578,69.7292318851379,57.8200079584667,54.2294459055981,74.8728019600206,53.1793187922136,55.0613616780623,47.6677809190755,69.1319616995279,66.6870950644017,53.3685091814087,84.6787176979272,42.317392443719,60.0463273803837,76.6020791777724,58.7824638824565,47.7267275884027,50.6381432555967,65.3105176070707
PFLU_0015,36.0870682999828,46.4376456030373,57.5484480331223,47.6867388481343,47.9387396561005,45.7940098396415,49.533646021569,45.1430139665705,44.4022527767501,44.6790440466875,46.5097911349342,50.0412195866634,55.6263304696193,46.6634866398771,39.1677715258616,47.3680946267577,41.2735011521658,43.2502309803441,50.4014347804294,67.1722025980552,45.2990596285722,45.1304654986157,64.2154500858303,48.2668486619018,42.2638892075425,49.3875538554135,56.514002875254,48.9477937924885,51.8271028877609,58.1978332097412
PFLU_0016,10.7496533895976,17.8575722077412,28.6656884568638,19.5241335809856,20.1174659544621,23.6176142482507,24.8684717418246,14.7892017738566,13.9469909413855,19.4041934903915,22.5753638248836,23.0662740503454,29.6955996562505,21.5042980850612,16.1712025286027,16.3491154531117,12.7189126357551,17.2935138033996,24.7315999779688,40.4494125877613,22.5994810571104,19.7103391237221,24.6011033912963,29.634084442557,13.5305894429292,23.9814507440057,27.504621040141,26.8096949580225,25.8489139054205,25.8265107648976
PFLU_0017,13.7473041345905,17.6004979197212,37.9127099459345,24.2939365672083,20.2766424957938,26.8202657142388,24.5090551023947,15.3775349384286,14.2322880660038,25.1840938924037,25.3640547670283,27.18922671655,37.5074484651933,22.0203727660168,18.8038148415562,18.5543570700382,11.5081250591993,17.2724897883692,36.2030182067437,48.9657704327175,27.2736953781767,23.0791553720482,36.7333001562291,25.849921647468,15.0056222543177,28.0346632989631,33.2354960486674,35.1079491966138,35.2419198922218,38.4037958815225
PFLU_0018,288.856076816159,231.258937941233,311.705168450422,245.492178914461,216.910749539159,256.84913780405,234.052386695808,258.894281772485,342.311511688336,305.233321763797,236.599258884696,251.561991995535,298.25479144392,242.447399338333,329.899984174556,326.091537164499,321.55883540642,274.989867009642,346.933860105149,399.220185113976,284.631198700178,272.307176750377,367.91612380336,194.712387512921,271.060139751367,303.46208289656,257.508577112195,316.458301847427,320.727058211962,303.260025811853
PFLU_0019,15.1793149819437,13.6895301352221,17.1424858989773,12.9846281163012,16.6785198559415,19.1071861154853,14.9690387757264,10.8321285451451,12.038503057042,8.69911799391685,14.4394575105123,13.906687054599,22.680072133294,13.2129678425356,19.0466326984978,18.0925061905892,17.7184222117883,8.63206876028991,10.9910415432394,9.40393753237342,13.557242802983,12.3916044798093,15.4203382428758,18.4908285686679,15.638764616234,14.100364682705,14.1295290688185,9.37248868284403,9.2514130849048,5.32759502365606
PFLU_0020,30.4680698700297,28.9157925901455,24.9962805893077,27.5878879566892,33.123145446896,27.1853792936544,27.1675522620641,26.0113534993116,20.8865001192196,23.8368666294851,30.4799977927822,32.4372883750621,36.5990488914062,25.8175610463186,37.6052879876153,29.0863018827319,25.4048765082737,22.5191784673078,28.161839016009,26.5540401133311,29.2139201704204,25.9817443228805,28.1337324573852,24.6694872907613,29.9551186552958,28.4522008374583,28.7855282618451,20.2553417739945,22.6881401030833,22.0864681100983
