pQBR57.dPFLU4242.logFC,pQBR57.dPFLU4242.logCPM,pQBR57.dPFLU4242.F,pQBR57.dPFLU4242.PValue,pQBR57.dPFLU4242.FDR,pQBR57.PQBR57_0059_V100A.logFC,pQBR57.PQBR57_0059_V100A.logCPM,pQBR57.PQBR57_0059_V100A.F,pQBR57.PQBR57_0059_V100A.PValue,pQBR57.PQBR57_0059_V100A.FDR,pQBR57.dgacS.logFC,pQBR57.dgacS.logCPM,pQBR57.dgacS.F,pQBR57.dgacS.PValue,pQBR57.dgacS.FDR
PQBR57_0025,0.273226362957395,9.78318777437031,3.84701332789519,0.0684905884942012,0.218693496808402,0.255292068797457,9.78318777437031,3.33043314278496,0.0877993172840168,0.456128160524282,0.117225981789433,9.78318777437031,0.720564001685848,0.409178935372918,0.64528515088844
PQBR57_0026,0.381539233368257,11.5510435052363,13.5192031179219,0.00221180577759505,0.0269208360358712,0.286214913727942,11.5510435052363,7.5788083695087,0.0146995383386549,0.192314323917738,0.153560241179229,11.5510435052363,2.20363148661672,0.158204292400485,0.389566639090211
PQBR57_0027,0.354998203531707,11.7939830163635,14.9249248796612,0.00150785964978626,0.0217423064026486,0.175597889060504,11.7939830163635,3.63803300305235,0.0756251990527276,0.429930727469228,0.114653066198851,11.7939830163635,1.56467566981183,0.229965507108566,0.453543083464116
PQBR57_0028,0.0833527643808064,7.97555757900604,0.17312244962278,0.683188951843573,0.826813901947051,0.0963901610221881,7.97555757900604,0.22443406473336,0.642440398362315,0.928579224882276,0.227281195981313,7.97555757900604,1.33469295276289,0.265877935592689,0.492452176358633
PQBR57_0029,-0.259004981285673,7.89473318692106,1.54114394333791,0.233335408582793,0.462329693284975,-0.1770186100817,7.89473318692106,0.704413393799099,0.414359613460163,0.844579881981002,-0.0316681036427045,7.89473318692106,0.0242086912340307,0.878410356901999,0.959494389846799
PQBR57_0030,-0.0267787396132688,9.17971065211265,0.0413303426101413,0.841608410659061,0.918021506015471,0.045834218138774,9.17971065211265,0.120043392418192,0.733755151412318,0.929870683809834,0.116958802111124,9.17971065211265,0.815490283922773,0.380643893357896,0.62534164422687
PQBR57_0031,-0.317584458968144,8.92860549590146,3.68335013879746,0.0740061156848293,0.22343767282242,0.0956485609510553,8.92860549590146,0.33653624460131,0.570368025862665,0.904114073161539,0.220813209804018,8.92860549590146,1.87374647030451,0.19101212121566,0.427642509260231
PQBR57_0032,0.566703578930042,9.04550774936155,18.4856841229748,0.000619804238155106,0.0116963032421933,0.354574360352541,9.04550774936155,7.06434030901452,0.0177988988538109,0.216638026049241,0.187037128758922,9.04550774936155,2.0350546682469,0.174002135810167,0.405084846759766
PQBR57_0033,-0.232350388767997,10.8682162403561,5.15788958531642,0.0381514087807384,0.151892524678454,-0.239979616476066,10.8682162403561,5.46676387669912,0.0335033385203855,0.297342129368422,-0.0397034056312662,10.8682162403561,0.153322200279039,0.700835877035939,0.86039217180781
PQBR57_0034,-0.324375156375999,9.83886961275795,4.94254093646361,0.0418377325325774,0.162026127807982,-0.32066395381133,9.83886961275795,4.78762384541893,0.0447473342525902,0.323090921891583,-0.190122776765242,9.83886961275795,1.75019026598575,0.205484832266135,0.437682692726866
PQBR57_0035,-0.476136486942731,10.4914667121303,9.69137918295646,0.00705868990869424,0.0512338913357857,-0.397015936121289,10.4914667121303,6.72026581909897,0.0202922943710072,0.221654292360232,-0.239021261873247,10.4914667121303,2.50939383444054,0.133828680024813,0.358184493877857
